API Field Name,Group,Common Name,Type,Query,Description
#ipc_total_num_assignees,ipcs,Total Number of Assignees,integer,Y,Total number of unique assignees on patents within an IPC class
#ipc_main_group,ipcs,Main Group,string,Y,Subdivisions of the IPC subclass
#ipc_classification_data_source,ipcs,Classification Data Source,string,N,"�H� defining �Human - Generated�, �M� defining �Machine - Generated� and �G� defining �G enerated via Software�"
#ipc_class,ipcs,Class,string,Y,"Second hierarchial level of the IPC system, sections are subdivided into classes"
#ipc_action_date,ipcs,Action Date,date,N,Date an International Patent Classification (IPC) is issued for the patent
#ipc_last_seen_date,ipcs,Last Seen Date,date,Y,Grant date of the most recent patent in the database within a IPC group
#ipc_first_seen_date,ipcs,First Seen Date,date,Y,Grant date of the earliest patent in the database within a IPC group
#ipc_classification_value,ipcs,Classification Value,string,Y,� I � defining �invention information� or �N� defining �non - invention information�
#lawyer_sequence,lawyers,Sequence,int,Y,Order in which lawyer appears in patent file
#lawyer_organization,lawyers,Organization,string,Y,"Organization name, if lawyer is organization"
#lawyer_total_num_assignees,lawyers,Total Number of Assignees,integer,Y,Total number of unique assignees on patents within a given lawyer (as indicated by unique lawyer_id)
#lawyer_total_num_patents,lawyers,Total Number of Patents,integer,Y,Total number of patents in the database for a given lawyer (as indicated by unique lawyer_id)
#lawyer_total_num_inventors,lawyers,Total Number of Inventors,integer,Y,Total number of unique inventors on patents within a given lawyer (as indicated by unique lawyer_id)
#lawyer_last_seen_date,lawyers,Last Seen Date,date,Y,Most recent patent grant date for all the lawyer's patents in the database
#lawyer_first_seen_date,lawyers,First Seen Date,date,Y,Earliest patent grant date for all the lawyer's patents in the database
#lawyer_first_name,lawyers,First Name,string,Y,First name of lawyer
#lawyer_last_name,lawyers,Last Name,string,Y,Last name of lawyer
#lawyer_id,lawyers,ID,string,Y,Unique database lawyer ID  by disambiguation algorithm
#location_id,locations,Location ID,string,Y,Unique location ID generated by the disambiguation algorithm
#location_latitude,locations,Latitude,float,N,Latitude associated with a location_id
#location_longitude,locations,Longitude,float,N,Longitude associated with a location_id
#location_state_fips,locations,State FIPS code,string,Y,FIPS code of the inventor's state associated with their location_id on a given patent (only US)
#location_state,locations,State,string,Y,State assocaited with a location_id
#location_country,locations,Country,string,Y,Country associated with a location_id
#location_city,locations,City,string,Y,City associated with a location_id
#location_county_fips,locations,County FIPS code,string,Y,FIPS code of the inventor's county associated with their location_id on a given patent (only US)
#location_county,locations,County,string,Y,Inventor's county associated with their location_id on a given patent (only US)
#nber_subcategory_title,nbers,Subcategory Title,string,Y,Description of NBER subcategory
#nber_subcategory_id,nbers,Subcategory ID,string,Y,NBER subcategory ID (see nber_subcategory_title for details)
#nber_total_num_assignees,nbers,Total Number of Assignees,integer,Y,Total number of unique assignees on patents within a NBER subcategory
#nber_total_num_patents,nbers,Total Number of Patents,integer,Y,Total number of patents within a NBER subcategory
#nber_total_num_inventors,nbers,Total Number of Inventors,integer,Y,Total number of unique inventors on patents within a NBER subcategory
#nber_num_patents_for_inventor,nbers,Number of Patents for NBER Subcategory,integer,Y,Number of patents within a NBER subcategory for a given inventor
#nber_category_title,nbers,Category Title,string,Y,Description of NBER category
#nber_category_id,nbers,Category ID,string,Y,National Bureau of Economic Research (NBER) technology category ID (see nber_category_title for details)
#nber_last_seen_date,nbers,Last Seen Date,date,Y,Grant date of the most recent patent in the database within a NBER subcategory
#nber_first_seen_date,nbers,First Seen Date,date,Y,Grant date of the earliest patent in the database within a NBER subcategory
#patent_kind,patents,Kind,string,Y,World Intellectual Property Organization (WIPO) Standard ST.16 Patent Code (http://www.uspto.gov/learning-and-resources/support-centers/electronic-business-center/kind-codes-included-uspto-patent)
#patent_num_cited_by_us_patents,patents,Number Cited by US Patents,integer,Y,Number of times the patent was cited by other US patents
#patent_num_claims,patents,Number of Claims,integer,N,Number of claim statements on the patent
#patent_firstnamed_inventor_location_id,patents,First Named Inventor Location ID,string,Y,Unique database ID for the location of the first-named (i.e. first in the list) inventor on the patent
#patent_firstnamed_inventor_longitude,patents,First Named Inventor Longitude,float,N,Longitude of the location of the first-named (i.e. first in the list) inventor on the patent
#patent_firstnamed_inventor_state,patents,First Named Inventor State,string,Y,State of the location of the first-named (i.e. first in the list) inventor on the patent
#patent_num_combined_citations,patents,Number of Combined Citations,integer,Y,"Number of patents and applications cited by the selected patent. This is the sum of citations of US patents, foreign patents, and US applications"
patent_number,patents,Number,string,Y,"US Patent number, as assigned by USPTO"
patent_title,patents,Title,full text,Y,Title of the  patent
#patent_type,patents,Type,string,Y,"Category of patent. There are 6 possible type: ""Defensive Publication"" - 509, ""Design"" - 474736, ""Plant"" - 21052, ""Reissue"" - 16416, ""Statutory Invention Registration"" - 2254, ""Utility"" - 4910906."
#patent_num_foreign_citations,patents,Number of Foreign Citations,integer,Y,Number of foreign patents cited by the selected patent
#patent_num_us_application_citations,patents,Number of US Application Citations,integer,Y,Number of US applications cited by the selected patent
#patent_num_us_patent_citations,patents,Number of US Patent Citations,integer,Y,Number of US patents cited by the selected patent
#patent_firstnamed_inventor_latitude,patents,First Named Inventor Latitude,float,N,Latitude of the location of the first-named (i.e. first in the list) inventor on the patent
#patent_firstnamed_assignee_city,patents,First Named Assignee City,string,Y,City of the location of the first-named (i.e. first in the list) assignee on the patent
#patent_firstnamed_assignee_country,patents,First Named Assignee Country,string,Y,Country of the location of the first-named (i.e. first in the list) assignee on the patent
#patent_firstnamed_assignee_id,patents,First Named Assignee ID,string,Y,Assignee ID (assignee_id) for the first-named (i.e. first in the list) assignee on the patent
#detail_desc_length,patents,Length of the detailed description text,integer,Y,The character count (length) of the detailed description text on a given patent
patent_abstract,patents,Abstract,full text,N,Abstract of the patent
patent_date,patents,Grant Date,date,Y,Date patent was granted
#patent_firstnamed_assignee_latitude,patents,First Named Assignee Latitude,float,N,Latitude of the location of the first-named (i.e. first in the list) assignee on the patent
#patent_firstnamed_inventor_city,patents,First Named Inventor City,string,Y,City of the location of the the first-named (i.e. first in the list) inventor on the patent
#patent_firstnamed_inventor_country,patents,First Named Inventor Country,string,Y,Country of the location of the first-named (i.e. first in the list) inventor on the patent
#patent_firstnamed_inventor_id,patents,First Named Inventor ID,string,Y,Inventor ID (inventor_id) for the first-named (i.e. first in the list) inventor on the patent
#patent_firstnamed_assignee_location_id,patents,First Named Assignee Location ID,string,Y,Unique database ID for the location of the first-named (i.e. first in the list) assignee on the patent
#patent_firstnamed_assignee_longitude,patents,First Named Assignee Longitude,float,N,Longitude of the location of the first-named (i.e. first in the list) assignee on the patent
#patent_firstnamed_assignee_state,patents,First Named Assignee State,string,Y,State of the location of the the first-named (i.e. first in the list) assignee on the patent
#pct_docnumber,pct_data,Number,string,Y,ID of the PCT document
#pct_doctype,pct_data,Type,string,Y,"Type of the PCT document (wo_grant, pct_application)"
#pct_kind,pct_data,Kind,string,Y,"Kind of PCT application (numerical for filed, alphabetical for published)"
#pct_102_date,pct_data,Date,date,Y,35 U.S.C. � 102(e) date for PCT applications
#pct_371_date,pct_data,Date,date,Y,"PCT Section 371(c)(1)(2)(4)date, date when PCT application was filed"
#pct_date,pct_data,Date,date,Y,Date when PCT document was filed or published
#rawinventor_last_name,rawinventors,Last Name,string,Y,Inventor last name before disambiguation as listed on the selected patent
#rawinventor_first_name,rawinventors,First Name,string,Y,Inventor first name before disambiguation as listed on the selected patent
#uspc_subclass_title,uspcs,Subclass Title,string,Y,Description of USPC subclass
#uspc_subclass_id,uspcs,Subclass ID,string,Y,ID of USPC subclass
#uspc_total_num_assignees,uspcs,Total Number of Assignees,integer,Y,Total number of unique assignees on patents within a USPC mainclass
#uspc_total_num_patents,uspcs,Total Number of Patents,integer,Y,Total number of patents within a USPC mainclass
#uspc_total_num_inventors,uspcs,Total Number of Inventors,integer,Y,Total number of unique inventors on patents  within a USPC mainclass
#uspc_sequence,uspcs,Sequence,integer,Y,Order of the USPC classification in the list of classifications for the selected patent
#uspc_last_seen_date,uspcs,Last Seen Date,date,Y,Grant date of the most recent patent in the database within a USPC mainclass
#uspc_first_seen_date,uspcs,First Seen Date,date,Y,Grant date of the earliest patent in the database within a USPC mainclass
#uspc_mainclass_id,uspcs,Mainclass ID,string,Y,ID of the USPC mainclass
#uspc_num_patents_for_inventor,uspcs,Number of Patents for Inventor,integer,Y,Total number of unique patents within a USPC mainclass with a given inventor
#uspc_mainclass_title,uspcs,Mainclass Title,string,Y,Description of USPC mainclass
#wipo_sector_title,wipos,Technology Sector Title,string,Y,Description of WIPO technology sector
#wipo_sequence,wipos,Sequence,integer,Y,Order of the WIPO technology field in the list of technology fields for the selected patent
#wipo_field_id,wipos,WIPO Technology Field ID,integer,Y,ID of WIPO technology field
#wipo_field_title,wipos,Technology Field Title,string,Y,Description of WIPO technology field
year_num_patents_for_inventor,years,Number of Patents for Inventor,integer,N,Number of patents for an inventor for a given year
year_id,years,ID,integer,Y,Year
